No.,日付,テーマ,正解,キーワード,解説
11,木,NISA・iDeCo・税制,③,新NISA成長投資枠240万円,新NISAの成長投資枠は年間240万円・つみたて投資枠は年間120万円・合計360万円が年間上限。生涯非課税限度額は1800万円（うち成長投資枠1200万円）。
12,木,NISA・iDeCo・税制,③,iDeCo所得控除,iDeCoの税制優遇：①掛金が全額所得控除、②運用益が非課税、③受給時は退職所得控除・公的年金等控除の対象。原則60歳まで引き出し不可（流動性が低い点に注意）。
13,木,NISA・iDeCo・税制,①,NISA非課税の範囲,NISA口座では配当金・分配金・売却益が非課税。ただし損失は他口座との損益通算や繰越控除ができない（デメリット）。損失が出た場合は一般口座・特定口座より不利になる場合がある。
14,木,NISA・iDeCo・税制,②,特定口座（源泉徴収あり）,特定口座（源泉徴収あり）は金融機関が損益計算と納税を代行するため原則として確定申告が不要。損益通算・繰越控除をする場合は確定申告が必要になる。
15,木,NISA・iDeCo・税制,②,ESG（E=環境 S=社会 G=企業統治）,E＝Environmental（環境）・S＝Social（社会）・G＝Governance（企業統治）。財務情報だけでなく非財務情報も考慮した投資手法。長期的な企業価値・持続可能性の評価に使用される。
16,金,行動経済学,②,損失回避バイアス・プロスペクト理論,Kahneman & Tverskyのプロスペクト理論。同額でも「損失」の痛みは「利益」の喜びの約2倍に感じられる。塩漬け株（含み損を持ち続ける）の心理的原因となる。
17,金,行動経済学,①,アンカリング効果,最初に目にした情報（アンカー）が以降の判断に過度な影響を与える効果。例：株を買った価格（取得単価）を売却判断の基準にしてしまう。「元値まで戻ったら売る」という行動が典型。
18,金,行動経済学,①,確証バイアス,自分がすでに持っている信念を裏付ける情報だけを集め矛盾する情報を無視・軽視する傾向。「この銘柄は上がる」と思ったら上昇根拠だけを探す投資行動が典型例。
19,金,行動経済学,②,ナッジ理論（Thaler & Sunstein）,ナッジ（nudge＝肘でそっと押す）はThaler & Sunstein提唱。自由な選択を残しながら選択肢の提示方法を工夫して望ましい行動を促す。例：年金積立をオプトアウト方式（自動加入）にする。
20,金,行動経済学,①,メンタルアカウンティング（心的会計）,例：「ギャンブルで勝ったお金は気軽に使える」「給与は節約するが賞与は散財する」—同じ金額でも出所や目的によって別のものとして扱う非合理な傾向。合理的には全てのお金は同価値。
21,土,ゴールベース資産管理,②,ゴールベースの定義,ゴールベース資産管理は「老後資金確保」「教育資金準備」などの具体的なゴールを起点に資産配分や運用計画を策定するアプローチ。ベンチマーク比較より「顧客のゴール達成」を重視。
22,土,ゴールベース資産管理,②,必達ゴール（need）vs 理想ゴール（want）,ゴールは「必達（need）」と「理想（want）」に分類。必達ゴールは未達が致命的な影響を与えるため低リスク運用で確実に備える。例：老後基本生活費・住宅ローン返済。
23,土,ゴールベース資産管理,②,ゴールベース4ステップ,プロセス：①ゴール設定→②実現シナリオ設定（優先順位付け）→③投資の選択・実行→④継続的レビュー。まず「何のため」を明確にしてから運用方針を決めることが特徴。
24,土,ゴールベース資産管理,②,ファンドラップ・投資一任,ファンドラップは複数の投資信託を組み合わせ運用を一任する「投資一任サービス」。顧客のゴール・リスク許容度に合わせて資産配分を決め専門家（金融機関）が売買判断を代行する。
25,土,ゴールベース資産管理,②,継続的レビュー,結婚・出産・退職などのライフイベントや市場変化に応じてゴール・シナリオを継続的に見直す。「長期・積立・分散」と組み合わせた継続的レビューがゴールベース管理の重要な柱。
26,日,倫理系総復習,②,FD違反の判断,リスク許容度の確認なしに高リスク商品を勧めることは適合性原則・FDに反する。他の選択肢（手数料開示・代替提案・比較情報提供）はいずれも顧客利益を重視した正しい行動。
27,日,倫理系総復習,②,つみたて投資枠の特徴,つみたて投資枠は年間120万円が上限で金融庁の基準を満たした長期積立・分散投資向け商品（インデックスファンドなど）が対象。個別株式は不可。引出しはいつでも可能（非課税）。
28,日,倫理系総復習,①,iDeCo vs 新NISA比較,iDeCoは掛金が全額所得控除（現役時代の節税効果大）だが原則60歳まで引き出し不可。NISAは所得控除なしだがいつでも引き出し可能。運用益はどちらも非課税。
29,日,倫理系総復習,②,ヒューリスティック,ヒューリスティックとは「経験則による省力化された思考プロセス」。迅速な判断を可能にするが系統的なバイアス（確証バイアス・アンカリング等）を生みやすい。System1（直感）vsSystem2（論理）の概念とも関連。
30,日,倫理系総復習,②,理想ゴール（want）の運用方針,理想ゴール（want）は「達成できれば理想的だが未達でも致命的ではない目標」（豪華旅行・セカンドハウス等）。必達ゴールに比べてリスクを取れるため積極的な運用ポートフォリオが選択できる。
31,日,倫理系総復習,②,手数料明確化の目的,手数料等を明示する目的は顧客がコストを理解したうえで商品選択の意思決定ができるようにすること。コスト透明性はFD・顧客本位の基本。信頼関係の構築にも寄与する。
32,日,倫理系総復習,②,iDeCo受給の税制優遇,iDeCoの受給は①一時金（退職所得控除適用）②年金形式（公的年金等控除適用）③一時金と年金の組み合わせから選択可能。受給時も税制優遇がある。受給開始は原則60歳以降75歳まで。
33,日,倫理系総復習,②,サンクコスト効果（埋没費用の誤謬）,サンクコストとは「すでに支払った回収不能なコスト」。合理的にはサンクコストは無視すべきだが「もったいない」という心理から意思決定を歪める。含み損株を売れない典型的な原因。
34,日,倫理系総復習,③,G（Governance）の評価項目,E=CO2排出量・気候変動対策、S=労働環境・ダイバーシティ・人権、G=取締役会の独立性・株主への説明責任・内部統制。G（企業統治）はコーポレートガバナンスの質を評価する。
35,日,倫理系総復習,②,ゴールベース vs 従来型アプローチ,従来型資産運用はベンチマーク（市場平均）比較でパフォーマンスを評価。ゴールベースは顧客の「ライフゴール達成」を出発点とし相対評価より絶対的な目標達成を重視する点が本質的な違い。
