日付,テーマ,No.,問題文,選択肢①,選択肢②,選択肢③,選択肢④
土,ゴールベース資産管理,25,ゴールベース資産管理における「継続的レビュー」の説明として最も適切なものはどれか？,毎日相場をチェックして売買判断を行うこと,ライフイベントや市場環境の変化に応じて計画を見直すこと,年1回の決算期に資産状況を確認すること,損益がプラスになった時点で運用を終了すること
日,倫理系総復習,26,次のうちフィデューシャリーデューティーに反する行為はどれか？,顧客に手数料を明示したうえで商品を推奨した,顧客のリスク許容度を確認せずに高リスク商品を勧めた,顧客の意向に合わない商品を断り代替商品を提案した,競合商品との比較情報を顧客に提供した
日,倫理系総復習,27,新NISAの「つみたて投資枠」に関する説明として正しいものはどれか？,個別株式の購入が可能,年間120万円・長期積立・分散投資に適した金融商品が対象,60歳まで引き出せない,運用益への課税率は10%
日,倫理系総復習,28,iDeCoと新NISAの比較として正しいものはどれか？,iDeCoは掛金の所得控除があるがNISAにはない,NISAは60歳まで引き出せないがiDeCoはいつでも引き出せる,NISAの運用益は課税対象でiDeCoは非課税,両制度の生涯非課税枠は同額
日,倫理系総復習,29,行動経済学の「ヒューリスティック」の説明として正しいものはどれか？,統計的手法による客観的な意思決定プロセス,経験則や直感による省力化された素早い判断,複数の専門家の意見を平均して判断する方法,過去データを基にした機械的なシステム売買
日,倫理系総復習,30,ゴールベース資産管理において「理想ゴール（want）」に適切な運用方針はどれか？,元本保証を優先し定期預金のみで運用する,未達でも生活に致命的影響がないため相対的に高リスク運用が可能,必達ゴールと全く同じ低リスク方針を適用する,毎月の市場変動に応じてリスク量を調整する
日,倫理系総復習,31,顧客本位の業務運営において「手数料等の明確化」の目的として最も適切なものはどれか？,金融機関の収益を顧客に開示することで信頼を得るため,顧客が金融商品のコストを理解したうえで意思決定できるようにするため,税務申告を容易にするため,競合金融機関との手数料比較を促すため
日,倫理系総復習,32,iDeCoの受給に関する説明として正しいものはどれか？,受給は一時金受取のみで年金形式は選べない,受取方法により退職所得控除または公的年金等控除が適用される,受給額は全額課税される,受給開始は50歳以上であればいつでも可能
日,倫理系総復習,33,行動経済学における「サンクコスト効果（埋没費用の誤謬）」の例として最も適切なものはどれか？,損失を出した株式を将来性があるため継続保有する,含み損の株式を「もったいない」という理由で売れずに持ち続ける,割安な株式を発見して新規購入する,市場全体の下落時に分散投資を行う
日,倫理系総復習,34,ESGのうち「G（Governance）：企業統治」に該当する評価項目はどれか？,CO2排出量の削減目標,ダイバーシティ・労働環境,取締役会の独立性・株主への説明責任,省エネ設備への投資額
日,倫理系総復習,35,ゴールベース資産管理と従来の資産運用アプローチの違いとして最も適切な説明はどれか？,ゴールベースは短期利益を重視し従来型は長期を重視する,ゴールベースは顧客のライフゴール達成を出発点とし従来型はベンチマーク比較を重視する,ゴールベースは高リスクで従来型は低リスクである,ゴールベースは機関投資家向けで従来型は個人向けである
